file,mode,pages,total_hits,top_labels
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN-Advisory-ISIS-508C.pdf,direct,15,89,money_laundering:49; terrorist_financing:17; crypto_virtual_assets:11; ransomware:7; structuring_smurfing:3
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN-Supplemental-Advisory-on-Fentanyl-508C.pdf,direct,15,101,money_laundering:53; terrorist_financing:26; sanctions_evasion:10; structuring_smurfing:8; crypto_virtual_assets:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\guidance_fi_increasing_mlt_iranian.pdf,direct,2,18,money_laundering:10; terrorist_financing:8
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Iran%20Advisory%20FINAL%20508.pdf,direct,19,218,terrorist_financing:149; money_laundering:37; sanctions_evasion:27; structuring_smurfing:3; crypto_virtual_assets:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Nicaragua_Advisory_FINAL_508_0.pdf,direct,5,61,money_laundering:26; corruption_bribery:20; terrorist_financing:14; sanctions_evasion:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Nigeria_Withdrawal.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\PEP%20Facilitator%20Advisory_FINAL%20508%20updated.pdf,direct,15,152,corruption_bribery:65; money_laundering:50; terrorist_financing:35; sanctions_evasion:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Risk%20in%20Real%20Estate%20Advisory_FINAL%20508%20Tuesday%20%28002%29.pdf,direct,8,91,money_laundering:81; terrorist_financing:6; corruption_bribery:3; healthcare_fraud:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\South%20Sudan%20Advisory_09-06-2017_0.pdf,direct,7,79,money_laundering:27; terrorist_financing:26; corruption_bribery:26
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Updated%20BEC%20Advisory%20FINAL%20508.pdf,direct,12,146,bec_business_email_compromise:113; money_laundering:33
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Venezuela%20Advisory%20FINAL%20508.pdf,direct,15,211,terrorist_financing:73; money_laundering:55; corruption_bribery:54; sanctions_evasion:18; trade_based_money_laundering:9
